Model,Metric,Correlation,P_Value,Significant
Meta Llama 3.1 70B,Idea Density,-0.07599689672910843,4.7348603590120744e-05,True
Meta Llama 3.1 70B,Question Complexity,0.028055214389597308,0.13361355805782493,False
Meta Llama 3.1 70B,Syntactic Complexity,0.016379579947625372,0.38122640427077026,False
Meta Llama 3.1 70B,Semantic Complexity,0.10425721602818785,2.2921669478347056e-08,True
Meta Llama 3.1 70B,ToM Complexity,-0.023157423191799243,0.2156939178780975,False
Meta Llama 3.1 70B,Reasoning Complexity,0.03647216611703644,0.05114156539931943,False
Meta Llama 3.1 70B,RST EDUs,-0.038511582416658606,0.03945370599057296,True
Meta Llama 3.1 70B,RST Tree Depth,-0.05066432200888684,0.006727679228720754,True
Meta Llama 3.1 70B,RST Attribution,-0.06430134463426014,0.0005799384575831208,True
Meta Llama 3.1 70B,RST Causal,0.044669502783268575,0.016893057333353945,True
Meta Llama 3.1 70B,RST Explanation,0.006044770663676775,0.7465969950772341,False
Qwen 2.5 32B,Idea Density,-0.07296665512689146,9.395985282696146e-05,True
Qwen 2.5 32B,Question Complexity,0.0679139530791962,0.00027843697005963046,True
Qwen 2.5 32B,Syntactic Complexity,0.06814953916850965,0.0002650987087157797,True
Qwen 2.5 32B,Semantic Complexity,0.10488136364480721,1.8875257181161376e-08,True
Qwen 2.5 32B,ToM Complexity,0.035463863111920416,0.057915339083498336,False
Qwen 2.5 32B,Reasoning Complexity,-0.016549896777166256,0.37629413780179466,False
Qwen 2.5 32B,RST EDUs,-0.04582391196159514,0.014252660214847558,True
Qwen 2.5 32B,RST Tree Depth,-0.07169096185190324,0.0001244346743254421,True
Qwen 2.5 32B,RST Attribution,-0.04068066829490469,0.029591946814077594,True
Qwen 2.5 32B,RST Causal,-0.01686286908169499,0.3673338543309372,False
Qwen 2.5 32B,RST Explanation,0.018662386023689536,0.31842692567827285,False
OLMo 13B,Idea Density,0.0159131462873811,0.394935758859129,False
OLMo 13B,Question Complexity,-0.12212648113845882,5.6436065208464977e-11,True
OLMo 13B,Syntactic Complexity,-0.1136015236489396,1.1125295142089772e-09,True
OLMo 13B,Semantic Complexity,-0.1309152501021631,2.088862988680831e-12,True
OLMo 13B,ToM Complexity,-0.06557734730409778,0.0004493665577901544,True
OLMo 13B,Reasoning Complexity,-0.06441050950776583,0.0005675182296281165,True
OLMo 13B,RST EDUs,0.05415362092754138,0.0037682240320324623,True
OLMo 13B,RST Tree Depth,0.021328964944805084,0.25416879269614207,False
OLMo 13B,RST Attribution,0.0370372906664819,0.04764403953742339,True
OLMo 13B,RST Causal,0.01777258005747933,0.3420519020610066,False
OLMo 13B,RST Explanation,0.046134298723453565,0.01360792623600194,True
Mistral 7B,Idea Density,0.03477109022417938,0.06298869054290164,False
Mistral 7B,Question Complexity,-0.16636424501893338,3.379714642440547e-19,True
Mistral 7B,Syntactic Complexity,-0.16452059204256575,8.372413490658054e-19,True
Mistral 7B,Semantic Complexity,-0.048573048957153954,0.0093759079717684,True
Mistral 7B,ToM Complexity,-0.11854123269522056,2.029075393796702e-10,True
Mistral 7B,Reasoning Complexity,-0.12955448401437092,3.532152435415307e-12,True
Mistral 7B,RST EDUs,0.0434860414572123,0.020036049952647874,True
Mistral 7B,RST Tree Depth,0.030514244385127457,0.1027770964947808,False
Mistral 7B,RST Attribution,0.05566834214832545,0.0029004753492317932,True
Mistral 7B,RST Causal,0.0327959157087503,0.07949963730949892,False
Mistral 7B,RST Explanation,0.038647758917608355,0.03876141023471973,True
Phi 3 Mini,Idea Density,-0.009041846945544904,0.6288492756636082,False
Phi 3 Mini,Question Complexity,-0.07154540794125286,0.00012845091272851994,True
Phi 3 Mini,Syntactic Complexity,-0.0739360679910727,7.567059313114903e-05,True
Phi 3 Mini,Semantic Complexity,-0.002127268763036101,0.9094640905527349,False
Phi 3 Mini,ToM Complexity,-0.07824943607324014,2.798234971578881e-05,True
Phi 3 Mini,Reasoning Complexity,-0.025778737824172657,0.1681271477382071,False
Phi 3 Mini,RST EDUs,-0.014584697071267305,0.4355821714591465,False
Phi 3 Mini,RST Tree Depth,-0.02702748069344044,0.1484483723430537,False
Phi 3 Mini,RST Attribution,0.01089545672580903,0.5602701105496761,False
Phi 3 Mini,RST Causal,0.015587123478128656,0.404692758754211,False
Phi 3 Mini,RST Explanation,0.006347630894303214,0.7343688514601562,False
InternLM 1.8B,Idea Density,0.04281700714474537,0.022029523825258253,True
InternLM 1.8B,Question Complexity,-0.19111038112485962,6.278360948030244e-25,True
InternLM 1.8B,Syntactic Complexity,-0.18504210271625365,1.9061278608147977e-23,True
InternLM 1.8B,Semantic Complexity,-0.09543631720808499,3.166140166423786e-07,True
InternLM 1.8B,ToM Complexity,-0.1510305042570132,4.66019100355256e-16,True
InternLM 1.8B,Reasoning Complexity,-0.11180166800164028,2.0320029078750594e-09,True
InternLM 1.8B,RST EDUs,0.04325144688332764,0.02071637280808986,True
InternLM 1.8B,RST Tree Depth,0.05077034709796234,0.006613377500516392,True
InternLM 1.8B,RST Attribution,0.07953738243161712,2.0583516451840433e-05,True
InternLM 1.8B,RST Causal,0.028783606860993332,0.12381320385034983,False
InternLM 1.8B,RST Explanation,0.06010181477367633,0.001301335721395731,True
