,Idea_Density_normalized,Question_Complexity_Score_normalized,Q_Syntactic_Complexity_normalized,Q_Semantic_Complexity_normalized,Q_ToM_Complexity_normalized,Q_Reasoning_Complexity_normalized,num_edus_normalized,tree_depth_normalized,rel_attribution_normalized,rel_causal_normalized,rel_explanation_normalized
Idea_Density_normalized,1.0,-0.18655128366082072,-0.16438426440663964,-0.19778460607016082,-0.023943114084117215,-0.23563406736878337,0.2602067436675597,0.35254417333208254,0.33510209829304466,0.04568512834021762,0.09080242067289754
Question_Complexity_Score_normalized,-0.18655128366082072,1.0,0.9759046435002106,0.5694985918406319,0.7130991154110958,0.5777006933576244,-0.11218324137151715,-0.1382615362794682,-0.1262097218079079,-0.02342382862549134,-0.07247503157846562
Q_Syntactic_Complexity_normalized,-0.16438426440663964,0.9759046435002106,1.0,0.483235536404886,0.6172270363742152,0.5039201064479497,-0.10901453128170405,-0.13039886660700983,-0.10902665842631235,-0.03197297462908693,-0.0698799338038482
Q_Semantic_Complexity_normalized,-0.19778460607016082,0.5694985918406319,0.483235536404886,1.0,0.3315328878084222,0.11806215992879505,-0.13106706779930608,-0.17104039589031425,-0.23109018205201282,0.025429018590146613,-0.08771248220505987
Q_ToM_Complexity_normalized,-0.023943114084117215,0.7130991154110958,0.6172270363742152,0.3315328878084222,1.0,0.25922930374688263,-0.053022166391079706,-0.08568695123894682,-0.108901668024326,-0.025988239037916527,-0.06443218777689956
Q_Reasoning_Complexity_normalized,-0.23563406736878337,0.5777006933576244,0.5039201064479497,0.11806215992879505,0.25922930374688263,1.0,-0.03581689385737874,-0.029117578400379665,0.03474755120294856,0.0037404035628653895,0.013625057804926465
num_edus_normalized,0.2602067436675597,-0.11218324137151715,-0.10901453128170405,-0.13106706779930608,-0.053022166391079706,-0.03581689385737874,1.0,0.8873397261811234,0.6759140458165683,0.3528126372247552,0.3910014191222921
tree_depth_normalized,0.35254417333208254,-0.1382615362794682,-0.13039886660700983,-0.17104039589031425,-0.08568695123894682,-0.029117578400379665,0.8873397261811234,1.0,0.6773469540687066,0.3071902929678249,0.3181226737730478
rel_attribution_normalized,0.33510209829304466,-0.1262097218079079,-0.10902665842631235,-0.23109018205201282,-0.108901668024326,0.03474755120294856,0.6759140458165683,0.6773469540687066,1.0,0.0694086841237288,0.3737262646573045
rel_causal_normalized,0.04568512834021762,-0.02342382862549134,-0.03197297462908693,0.025429018590146613,-0.025988239037916527,0.0037404035628653895,0.3528126372247552,0.3071902929678249,0.0694086841237288,1.0,-0.0230897088761809
rel_explanation_normalized,0.09080242067289754,-0.07247503157846562,-0.0698799338038482,-0.08771248220505987,-0.06443218777689956,0.013625057804926465,0.3910014191222921,0.3181226737730478,0.3737262646573045,-0.0230897088761809,1.0
