Feature,Correlation,Abs_Correlation,Category,Text_Type,Non_Null_Count,Non_Zero_Count,Mean,Std,Data_Quality
Story_Dialogue_Markers,-0.6499939239475409,0.6499939239475409,Other,Story,2860,1509,2.591958041958042,3.4501808396301143,Good
Story_Max_Distance_To_Centroid,-0.6068990429874087,0.6068990429874087,Other,Story,2860,2133,0.5849829775939038,0.3738508720788261,Good
Story_Attention_Max,0.5920075066800415,0.5920075066800415,Embedding,Story,2860,2860,0.4533396687540975,0.027414840373139095,Good
Story_Embedding_Std,-0.5917748069523961,0.5917748069523961,Embedding,Story,2860,2133,0.022606298064982315,0.014273422837663466,Good
Story_Avg_Distance_To_Centroid,-0.5826913954776264,0.5826913954776264,Other,Story,2860,2133,0.48244181486380683,0.2972756202912823,Good
Story_Embedding_Variance,-0.5724603511465297,0.5724603511465297,Embedding,Story,2860,2133,0.0008543156692040407,0.0005860123931780549,Good
Story_Attention_Switching_Cost,-0.5672712347429023,0.5672712347429023,Embedding,Story,2860,2133,0.599180589011014,0.36219554424058353,Good
Story_Avg_Sentence_Length,0.5662929465227324,0.5662929465227324,Other,Story,2860,2860,22.974894168460086,15.435348909887596,Good
Question_Question_wh_questions_Count,0.5540464815451178,0.5540464815451178,Other,Question,2860,2342,0.8188811188811189,0.38518399303790735,Good
Story_Sentence_Count_Enhanced,-0.55037122957831,0.55037122957831,Surface,Story,2860,2860,4.002797202797203,2.6574239277120695,Good
Story_Linsear_Write,0.5437965812041884,0.5437965812041884,Other,Story,2860,2860,13.271276986901986,8.202449413862306,Good
Story_Linsear_Write_Formula,0.5437965812041884,0.5437965812041884,Other,Story,2860,2860,13.271276986901986,8.202449413862306,Good
Story_Embedding_Trajectory_Length,-0.5369280778365854,0.5369280778365854,Embedding,Story,2860,2133,3.1762205237796257,2.977903644010661,Good
Story_Parse_Avg_Depth,0.536206376121256,0.536206376121256,Other,Story,2860,2860,2.6519314434809433,0.7808233604221686,Good
