Metric,Subject,Correlation,P_Value,Significant,N_Points
Mixed_Metric_Weighted,Human,-0.16833608280488827,0.7498809486770921,False,6
Mixed_Metric_Weighted,Llama 3.1 70B,-0.2962436294174762,0.5686337689873286,False,6
Mixed_Metric_Weighted,Qwen 2.5 32B,-0.4954531103876371,0.3176307094661041,False,6
Mixed_Metric_Weighted,OLMo 13B,-0.4251516168656087,0.4006964805524977,False,6
Mixed_Metric_Weighted,Mistral 7B,-0.7305038996760463,0.09915572079274948,False,6
Mixed_Metric_Weighted,Phi-3 Mini,-0.6131307950495805,0.19555074474443063,False,6
Mixed_Metric_Weighted,InternLM 1.8B,-0.622751710294251,0.18663012300801476,False,6
Mixed_Metric_PCA,Human,0.5591476062469839,0.24868623462153377,False,6
Mixed_Metric_PCA,Llama 3.1 70B,-0.5851287040433616,0.22247383958343409,False,6
Mixed_Metric_PCA,Qwen 2.5 32B,-0.6413092835353853,0.16991414527770599,False,6
Mixed_Metric_PCA,OLMo 13B,-0.7738445652828403,0.07093591631063961,False,6
Mixed_Metric_PCA,Mistral 7B,-0.9079802286032894,0.012311862420252489,True,6
Mixed_Metric_PCA,Phi-3 Mini,-0.8099954040367295,0.05072287085331726,False,6
Mixed_Metric_PCA,InternLM 1.8B,-0.8597395391575228,0.02812982350964385,True,6
