Feature,Subject,Correlation,P_Value,Abs_Correlation,N_Samples,P_Corrected,Significant
Question_Complexity_Score,Human,0.1613630416713646,3.864362656771919e-18,0.1613630416713646,2860,,True
Story_MS_Embedding_Max_Depth,Human,-0.2152259699209021,2.5286189438740564e-31,0.2152259699209021,2860,,True
Story_MS_Embedding_Avg_Depth,Human,-0.1880588578356126,3.544452375214025e-24,0.1880588578356126,2860,,True
Story_MS_Clause_Count,Human,-0.2784599164925191,4.339201547191789e-52,0.2784599164925191,2860,,True
Story_Perspective_Markers,Human,-0.06880694816813392,0.00023097534605125513,0.06880694816813392,2860,,True
Story_Subject_Changes,Human,-0.1876137772646253,4.551160437827564e-24,0.1876137772646253,2860,,True
Story_Perspective_Complexity,Human,-0.18438966334443693,2.7322862752106404e-23,0.18438966334443693,2860,,True
Story_Recursive_MS_Max_Depth,Human,-0.14106996208789116,3.48478821794307e-14,0.14106996208789116,2860,,True
Story_Recursive_MS_Chains,Human,-0.13196759079981496,1.3862989793938847e-12,0.13196759079981496,2860,,True
Story_Pronoun_Count,Human,-0.31929393648426224,8.624759666817769e-69,0.31929393648426224,2860,,True
Story_Entity_Count,Human,-0.15691786090553655,3.160524559831001e-17,0.15691786090553655,2860,,True
Story_Coref_Complexity,Human,-0.17527181449603277,3.641999493112876e-21,0.17527181449603277,2860,,True
Story_MS_Contradictions,Human,-0.1892854303149101,1.773921910042425e-24,0.1892854303149101,2860,,True
Story_False_Belief_Score,Human,-0.1892854303149101,1.773921910042425e-24,0.1892854303149101,2860,,True
Story_MS_Total_Args,Human,-0.24285359910594204,1.1489546207792898e-39,0.24285359910594204,2860,,True
Story_MS_Complex_Args,Human,-0.18116043553012726,1.5920611147249733e-22,0.18116043553012726,2860,,True
Story_MS_Arg_Complexity,Human,-0.2470842513387962,4.834936072803394e-41,0.2470842513387962,2860,,True
Story_Temporal_Markers,Human,-0.4186841909771436,8.728090841843932e-122,0.4186841909771436,2860,,True
Story_Tense_Variety,Human,-0.16445233648987642,8.65663798380511e-19,0.16445233648987642,2860,,True
Story_Temporal_MS_Complexity,Human,-0.28828860498116243,7.3029461714686615e-56,0.28828860498116243,2860,,True
Story_Char_Count,Human,-0.3626203629873692,1.3186308447924027e-89,0.3626203629873692,2860,,True
Story_Alpha_Char_Ratio,Human,0.11237603148587907,1.678350932069985e-09,0.11237603148587907,2860,,True
Story_Digit_Ratio,Human,0.2085859608335455,1.7574386750821424e-29,0.2085859608335455,2860,,True
Story_Punct_Ratio,Human,-0.2422192299320886,1.837941072919416e-39,0.2422192299320886,2860,,True
Story_Word_Count_Enhanced,Human,-0.3496318384599473,5.145904182502013e-83,0.3496318384599473,2860,,True
Story_Unique_Word_Ratio,Human,-0.17461304762562022,5.1345357149215026e-21,0.17461304762562022,2860,,True
Story_Avg_Word_Length_Enhanced,Human,-0.1263873961568075,1.1743721233505515e-11,0.1263873961568075,2860,,True
Story_Sentence_Count_Enhanced,Human,-0.44075464471091524,3.0061202535201804e-136,0.44075464471091524,2860,,True
Story_Avg_Sentence_Length,Human,0.3872086960381895,5.962129311393769e-103,0.3872086960381895,2860,,True
Story_Flesch_Reading_Ease,Human,-0.2431281827888448,9.371426591921619e-40,0.2431281827888448,2860,,True
Story_Flesch_Kincaid_Grade,Human,0.3429279561701206,9.858887727866105e-80,0.3429279561701206,2860,,True
Story_Automated_Readability_Index,Human,0.35019767033139054,2.696023582113664e-83,0.35019767033139054,2860,,True
Story_Readability_Composite,Human,0.01490478718916333,0.4255739092526457,0.01490478718916333,2860,,False
Story_Sentiment_Positive,Human,-0.16901071128676662,9.024519011020053e-20,0.16901071128676662,2860,,True
Story_Sentiment_Negative,Human,-0.173203819896604,1.065670097049874e-20,0.173203819896604,2860,,True
Story_Sentiment_Neutral,Human,0.23485368751466926,3.8899092388475316e-37,0.23485368751466926,2860,,True
Story_Sentiment_Compound,Human,-0.15226986721935287,2.667952174314561e-16,0.15226986721935287,2860,,True
Story_TextBlob_Polarity,Human,-0.0639926534414498,0.0006164421555868308,0.0639926534414498,2860,,True
Story_TextBlob_Subjectivity,Human,-0.3072342463754759,1.4189585405311592e-63,0.3072342463754759,2860,,True
Story_Emotion_Joy_Count,Human,-0.10460570628736358,2.056874927644811e-08,0.10460570628736358,2860,,True
Story_Emotion_Anger_Count,Human,-0.06893827633115097,0.00022467224754833974,0.06893827633115097,2860,,True
Story_MS_cognitive_verbs_basic_Count,Human,-0.2603033193094075,1.6327143225889737e-45,0.2603033193094075,2860,,True
Story_MS_cognitive_verbs_metacognitive_Count,Human,-0.07077214998548162,0.00015191544788998462,0.07077214998548162,2860,,True
Story_MS_cognitive_verbs_Total,Human,-0.2711847088948221,2.15407934859826e-49,0.2711847088948221,2860,,True
Story_MS_emotional_verbs_basic_Count,Human,-0.15435279539718627,1.0340361443538067e-16,0.15435279539718627,2860,,True
Story_MS_emotional_verbs_complex_Count,Human,-0.049426051904538026,0.008200177955056905,0.049426051904538026,2860,,True
Story_MS_emotional_verbs_Total,Human,-0.15939808793803956,9.857046296381137e-18,0.15939808793803956,2860,,True
Story_MS_volitional_verbs_intention_Count,Human,-0.10435096677092123,2.2264190666683216e-08,0.10435096677092123,2860,,True
Story_MS_volitional_verbs_decision_Count,Human,-0.10028344897623037,7.6896528572914e-08,0.10028344897623037,2860,,True
Story_MS_volitional_verbs_Total,Human,-0.12958108411265784,3.4962522246453445e-12,0.12958108411265784,2860,,True
Story_MS_perceptual_verbs_visual_Count,Human,-0.11309027014210027,1.3214124728578182e-09,0.11309027014210027,2860,,True
